Story_Num	Sentence_Num	Word_In_Sentence_Num	Word	Word_In_Story_Num
1	1	0	If	1
1	1	1	you	2
1	1	2	were	3
1	1	3	to	4
1	1	4	journey	5
1	1	5	to	6
1	1	6	the	7
1	1	7	North	8
1	1	8	of	9
1	1	9	England,	10
1	1	10	you	11
1	1	11	would	12
1	1	12	come	13
1	1	13	to	14
1	1	14	a	15
1	1	15	valley	16
1	1	16	that	17
1	1	17	is	18
1	1	18	surrounded	19
1	1	19	by	20
1	1	20	moors	21
1	1	21	as	22
1	1	22	high	23
1	1	23	as	24
1	1	24	mountains.	25
1	2	0	It	26
1	2	1	is	27
1	2	2	in	28
1	2	3	this	29
1	2	4	valley	30
1	2	5	where	31
1	2	6	you	32
1	2	7	would	33
1	2	8	find	34
1	2	9	the	35
1	2	10	city	36
1	2	11	of	37
1	2	12	Bradford,	38
1	2	13	where	39
1	2	14	once	40
1	2	15	a	41
1	2	16	thousand	42
1	2	17	spinning	43
1	2	18	jennies	44
1	2	19	that	45
1	2	20	hummed	46
1	2	21	and	47
1	2	22	clattered	48
1	2	23	spun	49
1	2	24	wool	50
1	2	25	into	51
1	2	26	money	52
1	2	27	for	53
1	2	28	the	54
1	2	29	long-bearded	55
1	2	30	mill	56
1	2	31	owners.	57
1	3	0	That	58
1	3	1	all	59
1	3	2	mill	60
1	3	3	owners	61
1	3	4	were	62
1	3	5	generally	63
1	3	6	busy	64
1	3	7	as	65
1	3	8	beavers	66
1	3	9	and	67
1	3	10	quite	68
1	3	11	pleased	69
1	3	12	with	70
1	3	13	themselves	71
1	3	14	for	72
1	3	15	being	73
1	3	16	so	74
1	3	17	successful	75
1	3	18	and	76
1	3	19	well	77
1	3	20	off	78
1	3	21	was	79
1	3	22	known	80
1	3	23	to	81
1	3	24	the	82
1	3	25	residents	83
1	3	26	of	84
1	3	27	Bradford,	85
1	3	28	and	86
1	3	29	if	87
1	3	30	you	88
1	3	31	were	89
1	3	32	to	90
1	3	33	go	91
1	3	34	into	92
1	3	35	the	93
1	3	36	city	94
1	3	37	to	95
1	3	38	visit	96
1	3	39	the	97
1	3	40	stately	98
1	3	41	City	99
1	3	42	Hall,	100
1	3	43	you	101
1	3	44	would	102
1	3	45	see	103
1	3	46	there	104
1	3	47	the	105
1	3	48	Crest	106
1	3	49	of	107
1	3	50	the	108
1	3	51	City	109
1	3	52	of	110
1	3	53	Bradford,	111
1	3	54	which	112
1	3	55	those	113
1	3	56	same	114
1	3	57	mill	115
1	3	58	owners	116
1	3	59	created	117
1	3	60	to	118
1	3	61	celebrate	119
1	3	62	their	120
1	3	63	achievements.	121
1	4	0	It	122
1	4	1	shows	123
1	4	2	a	124
1	4	3	sinister	125
1	4	4	looking	126
1	4	5	boar's	127
1	4	6	head	128
1	4	7	sitting	129
1	4	8	on	130
1	4	9	top	131
1	4	10	of	132
1	4	11	a	133
1	4	12	well	134
1	4	13	which	135
1	4	14	seems	136
1	4	15	puzzling	137
1	4	16	at	138
1	4	17	first,	139
1	4	18	but	140
1	4	19	the	141
1	4	20	reason	142
1	4	21	for	143
1	4	22	this	144
1	4	23	symbol	145
1	4	24	is	146
1	4	25	a	147
1	4	26	matter	148
1	4	27	of	149
1	4	28	legend.	150
1	5	0	There	151
1	5	1	was	152
1	5	2	once,	153
1	5	3	legend	154
1	5	4	has	155
1	5	5	it,	156
1	5	6	a	157
1	5	7	fearsome	158
1	5	8	boar,	159
1	5	9	which	160
1	5	10	lived	161
1	5	11	in	162
1	5	12	a	163
1	5	13	wood	164
1	5	14	located	165
1	5	15	just	166
1	5	16	outside	167
1	5	17	the	168
1	5	18	manor	169
1	5	19	of	170
1	5	20	Bradford.	171
1	6	0	A	172
1	6	1	source	173
1	6	2	of	174
1	6	3	great	175
1	6	4	trouble	176
1	6	5	to	177
1	6	6	the	178
1	6	7	local	179
1	6	8	folk	180
1	6	9	the	181
1	6	10	boar	182
1	6	11	was,	183
1	6	12	bringing	184
1	6	13	terror	185
1	6	14	to	186
1	6	15	the	187
1	6	16	peaceful	188
1	6	17	flocks	189
1	6	18	and	190
1	6	19	ravaging	191
1	6	20	the	192
1	6	21	countryside	193
1	6	22	around.	194
1	7	0	Even	195
1	7	1	worse,	196
1	7	2	however,	197
1	7	3	the	198
1	7	4	boar	199
1	7	5	most	200
1	7	6	liked	201
1	7	7	to	202
1	7	8	go	203
1	7	9	to	204
1	7	10	the	205
1	7	11	well	206
1	7	12	that	207
1	7	13	was	208
1	7	14	in	209
1	7	15	the	210
1	7	16	wood	211
1	7	17	and	212
1	7	18	drink	213
1	7	19	its	214
1	7	20	fresh	215
1	7	21	water,	216
1	7	22	so	217
1	7	23	that	218
1	7	24	the	219
1	7	25	people	220
1	7	26	of	221
1	7	27	Bradford	222
1	7	28	had	223
1	7	29	second	224
1	7	30	thoughts	225
1	7	31	about	226
1	7	32	visiting	227
1	7	33	the	228
1	7	34	well.	229
1	8	0	That	230
1	8	1	the	231
1	8	2	people	232
1	8	3	of	233
1	8	4	Bradford	234
1	8	5	bore	235
1	8	6	the	236
1	8	7	brunt	237
1	8	8	of	238
1	8	9	the	239
1	8	10	beast's	240
1	8	11	ferocity	241
1	8	12	was	242
1	8	13	unfair	243
1	8	14	in	244
1	8	15	the	245
1	8	16	eyes	246
1	8	17	of	247
1	8	18	the	248
1	8	19	people	249
1	8	20	of	250
1	8	21	the	251
1	8	22	region.	252
1	9	0	Eventually,	253
1	9	1	the	254
1	9	2	issue	255
1	9	3	reached	256
1	9	4	the	257
1	9	5	ears	258
1	9	6	of	259
1	9	7	the	260
1	9	8	kindly	261
1	9	9	Lord	262
1	9	10	of	263
1	9	11	the	264
1	9	12	Manor	265
1	9	13	who	266
1	9	14	the	267
1	9	15	people	268
1	9	16	had	269
1	9	17	often	270
1	9	18	asked	271
1	9	19	for	272
1	9	20	help.	273
1	10	0	The	274
1	10	1	Lord	275
1	10	2	saw	276
1	10	3	the	277
1	10	4	severity	278
1	10	5	of	279
1	10	6	the	280
1	10	7	problem	281
1	10	8	the	282
1	10	9	people	283
1	10	10	faced	284
1	10	11	and	285
1	10	12	suggested	286
1	10	13	a	287
1	10	14	contest	288
1	10	15	could	289
1	10	16	solve	290
1	10	17	the	291
1	10	18	problem.	292
1	11	0	He	293
1	11	1	said	294
1	11	2	that	295
1	11	3	whoever	296
1	11	4	could	297
1	11	5	kill	298
1	11	6	the	299
1	11	7	boar	300
1	11	8	and	301
1	11	9	bring	302
1	11	10	as	303
1	11	11	proof	304
1	11	12	its	305
1	11	13	head	306
1	11	14	to	307
1	11	15	the	308
1	11	16	Manor	309
1	11	17	House	310
1	11	18	would	311
1	11	19	be	312
1	11	20	rewarded	313
1	11	21	with	314
1	11	22	land	315
1	11	23	and	316
1	11	24	fame.	317
1	12	0	It	318
1	12	1	was	319
1	12	2	the	320
1	12	3	people	321
1	12	4	of	322
1	12	5	Bradford	323
1	12	6	and	324
1	12	7	the	325
1	12	8	people	326
1	12	9	who	327
1	12	10	knew	328
1	12	11	them	329
1	12	12	who	330
1	12	13	rejoiced	331
1	12	14	at	332
1	12	15	this	333
1	12	16	proclamation	334
1	12	17	but	335
1	12	18	one	336
1	12	19	question	337
1	12	20	remained:	338
1	12	21	who	339
1	12	22	would	340
1	12	23	kill	341
1	12	24	the	342
1	12	25	boar?	343
1	13	0	By	344
1	13	1	the	345
1	13	2	handsome	346
1	13	3	reward	347
1	13	4	many	348
1	13	5	felt	349
1	13	6	tempted,	350
1	13	7	but	351
1	13	8	the	352
1	13	9	thought	353
1	13	10	of	354
1	13	11	the	355
1	13	12	boar	356
1	13	13	with	357
1	13	14	its	358
1	13	15	deadly	359
1	13	16	tusks	360
1	13	17	and	361
1	13	18	face	362
1	13	19	like	363
1	13	20	thunder	364
1	13	21	soon	365
1	13	22	put	366
1	13	23	an	367
1	13	24	end	368
1	13	25	to	369
1	13	26	their	370
1	13	27	ambitions.	371
1	14	0	However,	372
1	14	1	there	373
1	14	2	was	374
1	14	3	one	375
1	14	4	huntsman,	376
1	14	5	who	377
1	14	6	was	378
1	14	7	still	379
1	14	8	wet	380
1	14	9	behind	381
1	14	10	the	382
1	14	11	ears,	383
1	14	12	who	384
1	14	13	decided	385
1	14	14	the	386
1	14	15	prize	387
1	14	16	was	388
1	14	17	worth	389
1	14	18	a	390
1	14	19	shot,	391
1	14	20	in	392
1	14	21	spite	393
1	14	22	of	394
1	14	23	the	395
1	14	24	boar's	396
1	14	25	reputation.	397
1	15	0	The	398
1	15	1	huntsman	399
1	15	2	discovered	400
1	15	3	the	401
1	15	4	boar	402
1	15	5	preferred	403
1	15	6	to	404
1	15	7	come	405
1	15	8	out	406
1	15	9	in	407
1	15	10	the	408
1	15	11	middle	409
1	15	12	of	410
1	15	13	the	411
1	15	14	day.	412
1	16	0	So	413
1	16	1	he	414
1	16	2	went	415
1	16	3	to	416
1	16	4	the	417
1	16	5	wood	418
1	16	6	by	419
1	16	7	the	420
1	16	8	well	421
1	16	9	with	422
1	16	10	his	423
1	16	11	good	424
1	16	12	bow,	425
1	16	13	to	426
1	16	14	bide	427
1	16	15	his	428
1	16	16	time.	429
1	17	0	Around	430
1	17	1	noontime,	431
1	17	2	the	432
1	17	3	boar,	433
1	17	4	feared	434
1	17	5	by	435
1	17	6	the	436
1	17	7	locals,	437
1	17	8	came	438
1	17	9	out,	439
1	17	10	as	440
1	17	11	slow	441
1	17	12	as	442
1	17	13	a	443
1	17	14	snail,	444
1	17	15	from	445
1	17	16	among	446
1	17	17	the	447
1	17	18	trees,	448
1	17	19	just	449
1	17	20	as	450
1	17	21	the	451
1	17	22	huntsman	452
1	17	23	had	453
1	17	24	predicted.	454
1	18	0	The	455
1	18	1	huntsman	456
1	18	2	leaped	457
1	18	3	from	458
1	18	4	his	459
1	18	5	hiding	460
1	18	6	place	461
1	18	7	and	462
1	18	8	through	463
1	18	9	the	464
1	18	10	heart	465
1	18	11	with	466
1	18	12	his	467
1	18	13	fine	468
1	18	14	arrows	469
1	18	15	shot	470
1	18	16	the	471
1	18	17	boar.	472
1	19	0	Now	473
1	19	1	the	474
1	19	2	problem	475
1	19	3	was	476
1	19	4	no	477
1	19	5	longer	478
1	19	6	to	479
1	19	7	kill	480
1	19	8	the	481
1	19	9	boar.	482
1	20	0	It	483
1	20	1	was	484
1	20	2	to	485
1	20	3	find	486
1	20	4	a	487
1	20	5	way	488
1	20	6	to	489
1	20	7	carry	490
1	20	8	the	491
1	20	9	boar	492
1	20	10	back.	493
1	21	0	The	494
1	21	1	head	495
1	21	2	was	496
1	21	3	too	497
1	21	4	heavy	498
1	21	5	for	499
1	21	6	the	500
1	21	7	little	501
1	21	8	huntsman	502
1	21	9	to	503
1	21	10	carry	504
1	21	11	back	505
1	21	12	to	506
1	21	13	the	507
1	21	14	Manor	508
1	21	15	House,	509
1	21	16	but	510
1	21	17	the	511
1	21	18	huntsman,	512
1	21	19	who	513
1	21	20	was	514
1	21	21	as	515
1	21	22	quick-witted	516
1	21	23	and	517
1	21	24	cunning	518
1	21	25	as	519
1	21	26	ever,	520
1	21	27	asked	521
1	21	28	himself,	522
1	21	29	'What	523
1	21	30	else	524
1	21	31	can	525
1	21	32	I	526
1	21	33	do	527
1	21	34	to	528
1	21	35	prove	529
1	21	36	I	530
1	21	37	killed	531
1	21	38	the	532
1	21	39	boar?'	533
1	22	0	The	534
1	22	1	next	535
1	22	2	instance	536
1	22	3	he	537
1	22	4	opened	538
1	22	5	the	539
1	22	6	boar's	540
1	22	7	mouth	541
1	22	8	and	542
1	22	9	cut	543
1	22	10	out	544
1	22	11	its	545
1	22	12	tongue,	546
1	22	13	taking	547
1	22	14	that	548
1	22	15	as	549
1	22	16	proof	550
1	22	17	for	551
1	22	18	the	552
1	22	19	Lord.	553
1	23	0	He	554
1	23	1	set	555
1	23	2	out	556
1	23	3	for	557
1	23	4	the	558
1	23	5	Manor	559
1	23	6	House	560
1	23	7	as	561
1	23	8	quickly	562
1	23	9	as	563
1	23	10	he	564
1	23	11	could	565
1	23	12	and	566
1	23	13	he	567
1	23	14	had	568
1	23	15	only	569
1	23	16	been	570
1	23	17	gone	571
1	23	18	a	572
1	23	19	few	573
1	23	20	minutes	574
1	23	21	when	575
1	23	22	a	576
1	23	23	second	577
1	23	24	huntsman,	578
1	23	25	not	579
1	23	26	so	580
1	23	27	bold	581
1	23	28	as	582
1	23	29	the	583
1	23	30	first	584
1	23	31	but	585
1	23	32	a	586
1	23	33	little	587
1	23	34	more	588
1	23	35	cunning,	589
1	23	36	came	590
1	23	37	on	591
1	23	38	the	592
1	23	39	scene.	593
1	24	0	Seeing	594
1	24	1	the	595
1	24	2	slain	596
1	24	3	carcass	597
1	24	4	of	598
1	24	5	the	599
1	24	6	boar,	600
1	24	7	the	601
1	24	8	huntsman	602
1	24	9	rejoiced	603
1	24	10	in	604
1	24	11	his	605
1	24	12	good	606
1	24	13	fortune.	607
1	25	0	The	608
1	25	1	second	609
1	25	2	huntsman	610
1	25	3	knew	611
1	25	4	a	612
1	25	5	shortcut	613
1	25	6	to	614
1	25	7	the	615
1	25	8	Manor	616
1	25	9	House	617
1	25	10	was	618
1	25	11	just	619
1	25	12	around	620
1	25	13	the	621
1	25	14	nearby	622
1	25	15	pond,	623
1	25	16	and,	624
1	25	17	being	625
1	25	18	a	626
1	25	19	bigger	627
1	25	20	man	628
1	25	21	than	629
1	25	22	the	630
1	25	23	first,	631
1	25	24	was	632
1	25	25	able	633
1	25	26	to	634
1	25	27	pick	635
1	25	28	up	636
1	25	29	the	637
1	25	30	boar's	638
1	25	31	head	639
1	25	32	and	640
1	25	33	carry	641
1	25	34	it	642
1	25	35	through	643
1	25	36	the	644
1	25	37	wood	645
1	25	38	towards	646
1	25	39	the	647
1	25	40	prize	648
1	25	41	that	649
1	25	42	awaited	650
1	25	43	him.	651
1	26	0	The	652
1	26	1	Lord	653
1	26	2	of	654
1	26	3	the	655
1	26	4	Manor	656
1	26	5	was	657
1	26	6	seated	658
1	26	7	in	659
1	26	8	his	660
1	26	9	hall	661
1	26	10	when	662
1	26	11	the	663
1	26	12	second	664
1	26	13	huntsman	665
1	26	14	burst	666
1	26	15	through	667
1	26	16	the	668
1	26	17	door	669
1	26	18	and	670
1	26	19	began	671
1	26	20	to	672
1	26	21	spin	673
1	26	22	a	674
1	26	23	line.	675
1	27	0	'The	676
1	27	1	woes	677
1	27	2	of	678
1	27	3	Bradford	679
1	27	4	are	680
1	27	5	ended!'	681
1	27	6	he	682
1	27	7	announced.	683
1	28	0	'With	684
1	28	1	my	685
1	28	2	own	686
1	28	3	hand	687
